regime,model_name,accuracy,macro_f1,total_parameters,trainable_parameters,trainable_percent,training_step_ms,training_total_s,peak_memory_mib,saved_artifact_mib
phase8_reference,reseau_maison_phase8,0.3458,0.0944,NA,NA,NA,NA,NA,NA,NA
frozen,prajjwal1/bert-tiny,0.24990889212827988,0.03266498425183765,4388371,2451,0.055852160175153834,117.2762499190867,427.58488229988143,691.2109375,0.011349678039550781
partial,prajjwal1/bert-tiny,0.30184037900874633,0.06717318954709146,4388371,200723,4.573975172108283,163.5448499582708,553.3716560998,277.73046875,0.7733316421508789
lora,prajjwal1/bert-tiny,0.3420189504373178,0.12812138908869683,4392467,6547,0.14905063600933144,204.5383497606963,669.5944195003249,283.1015625,0.03034687042236328
