variant,macro_f1,accuracy,delta_macro_f1,disk_mib,compression_ratio,mean_latency_ms,median_latency_ms,p95_latency_ms,responses_per_second,speedup,within_margin,decision
baseline,0.10901753711717689,0.279296875,0.0,16.75680160522461,0.0,1.6052047840275918,1.4498999807983637,2.540304721333086,618.4006564671716,0.0,OUI,REFERENCE
quantification,0.10936957763660024,0.28125,0.00035204051942334946,15.588696479797363,1.0749328288571842,4.274813575648295,3.7921499460935593,6.8613851908594325,233.0247181889793,0.3768183551424636,OUI,ACCEPTE
torchscript,0.10901753711717689,0.279296875,0.0,16.82300567626953,0.9960646704685888,0.8805165939520521,0.7482501678168774,1.4620000729337315,1119.0525474186543,1.8095914609981663,OUI,ACCEPTE
